Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
AB10,57.135204043633216,-2.120401873973242,Hass's Fish And Chips,57.138141528939606,-2.114178528264346,Fish & Chips Shop
AB10,57.135204043633216,-2.120401873973242,Maggie's Grill,57.13778849067017,-2.114345766464161,American Restaurant
AB10,57.135204043633216,-2.120401873973242,Atlantis Restaurant at The Mariner Hotel,57.13449913928315,-2.127158147701901,Hotel Bar
AB10,57.135204043633216,-2.120401873973242,The Holburn,57.13752585963351,-2.1139537710561265,Bar
AB10,57.135204043633216,-2.120401873973242,Tesco Express,57.1380170245615,-2.1139414683784707,Grocery Store
AB10,57.135204043633216,-2.120401873973242,Iceland,57.136075172719266,-2.1151704805591227,Grocery Store
AB10,57.135204043633216,-2.120401873973242,Co-op Food,57.138087768693644,-2.114192895457922,Grocery Store
AB10,57.135204043633216,-2.120401873973242,Great Western Hotel,57.136356,-2.1222816,Bistro
AB11,57.139148254704025,-2.092870642277535,wagamama,57.14292110161165,-2.0968734918855034,Asian Restaurant
AB11,57.139148254704025,-2.092870642277535,Starbucks,57.142691,-2.095859,Coffee Shop
AB11,57.139148254704025,-2.092870642277535,Zara,57.14287149291351,-2.0954496524107373,Clothing Store
AB11,57.139148254704025,-2.092870642277535,Hobbycraft,57.143038709816736,-2.0947837829589844,Arts & Crafts Store
AB11,57.139148254704025,-2.092870642277535,Next,57.14314868815455,-2.095990340927983,Clothing Store
AB11,57.139148254704025,-2.092870642277535,Boots,57.14266543107242,-2.095264417422279,Pharmacy
AB11,57.139148254704025,-2.092870642277535,PizzaExpress,57.14283,-2.0966876,Pizza Place
AB11,57.139148254704025,-2.092870642277535,TK Maxx,57.142435377613,-2.094930092330007,Clothing Store
AB11,57.139148254704025,-2.092870642277535,Kwik-Fit,57.14176108978134,-2.0915225620205096,Auto Garage
AB11,57.139148254704025,-2.092870642277535,Two Ten Bistro,57.14195596662637,-2.091568017471289,Gastropub
AB11,57.139148254704025,-2.092870642277535,Aberdeen University Boat Club,57.13677731266085,-2.096518487558856,Harbor / Marina
AB11,57.139148254704025,-2.092870642277535,Torry Chip Bar,57.13754271743991,-2.087965503729506,Fast Food Restaurant
AB14,57.10044936917396,-2.2713239052457754,Bus Stop (19/201/202),57.09640171489651,-2.2707420587539673,Bus Stop
AB14,57.10044936917396,-2.2713239052457754,Jumbos Fish & Chips,57.09623561095711,-2.271326780319214,Fast Food Restaurant
AB14,57.10044936917396,-2.2713239052457754,Royal China,57.096212885140865,-2.2706458983289597,Asian Restaurant
AB15,57.137506206543144,-2.1681160370110173,Aberdeen Wanderers RFC,57.140427,-2.174381,Rugby Pitch
AB16,57.16008766402674,-2.1566743687127112,Marcliffe Hotel and Spa,57.15818232662436,-2.155528243186655,Hotel
AB16,57.16008766402674,-2.1566743687127112,M S Services,57.1599385,-2.1633021,Locksmith
AB16,57.16008766402674,-2.1566743687127112,Spar,57.16387973905377,-2.1555753082442086,Convenience Store
AB16,57.16008766402674,-2.1566743687127112,Byron Bakery,57.16387423598034,-2.1554305826817726,Cupcake Shop
AB21,57.20954062494955,-2.2020138042987067,Nhv Group Aberdeen,57.210255,-2.1991491,Heliport
AB22,57.18656325319389,-2.1222752495580646,Mains Of Scotstown Inn,57.188486,-2.119642496109009,Restaurant
AB22,57.18656325319389,-2.1222752495580646,Cheerz Bar & Nightclub,57.18662862071843,-2.1221690214081805,Gay Bar
AB22,57.18656325319389,-2.1222752495580646,Buckie Farm,57.18316655705836,-2.126517657696883,Restaurant
AB22,57.18656325319389,-2.1222752495580646,AWS Thistle Locksmiths,57.1869425,-2.1166647,Locksmith
AB22,57.18656325319389,-2.1222752495580646,Sarah Dickson Photography,57.187793,-2.12865,Photography Studio
AB22,57.18656325319389,-2.1222752495580646,Baguette Express,57.190737633942916,-2.1215010055698293,Sandwich Place
AB22,57.18656325319389,-2.1222752495580646,Training at Toby,57.182773841249414,-2.1257901191711426,Soccer Field
AB22,57.18656325319389,-2.1222752495580646,Nestrans Marker,57.186527,-2.114297,Bike Trail
AB24,57.16392984569153,-2.1079222850522576,Kilau Coffee,57.16566423437108,-2.1021869493365184,Coffee Shop
AB24,57.16392984569153,-2.1079222850522576,St Machar Bar,57.1665585382462,-2.1023777744923597,Bar
AB24,57.16392984569153,-2.1079222850522576,Starbucks,57.163755,-2.103234,Coffee Shop
AB24,57.16392984569153,-2.1079222850522576,PureGym,57.16054255669877,-2.1123029443678063,Gym / Fitness Center
AB24,57.16392984569153,-2.1079222850522576,B&M Store,57.161669,-2.1114564,Discount Store
AB24,57.16392984569153,-2.1079222850522576,Subway,57.16685593895376,-2.10408693510053,Sandwich Place
AB24,57.16392984569153,-2.1079222850522576,Kittybrewster Retail Park,57.16132681578155,-2.111093110370032,Shopping Plaza
AB24,57.16392984569153,-2.1079222850522576,TK Maxx,57.161538068647324,-2.1116917761020244,Clothing Store
AB24,57.16392984569153,-2.1079222850522576,Sports Direct,57.16242524481425,-2.108729292270138,Sporting Goods Shop
AB24,57.16392984569153,-2.1079222850522576,Hardback Cafe,57.16541872829872,-2.1054120262940637,Café
AB24,57.16392984569153,-2.1079222850522576,Adie's Shop,57.161914456562,-2.109475312473665,Convenience Store
AB24,57.16392984569153,-2.1079222850522576,Café Zeste,57.163708263725226,-2.103738683694773,Café
AB24,57.16392984569153,-2.1079222850522576,JG Ross,57.16543369221952,-2.104557189066661,Bakery
AB24,57.16392984569153,-2.1079222850522576,DFS Aberdeen,57.16167683033257,-2.110208617751308,Furniture / Home Store
AB24,57.16392984569153,-2.1079222850522576,tiki cafe,57.16683837552236,-2.104160785675049,Café
AB24,57.16392984569153,-2.1079222850522576,Zoology Museum,57.167487560103915,-2.1065425872802734,Museum
AB24,57.16392984569153,-2.1079222850522576,Wren Kitchens,57.1609347,-2.1123118,Construction & Landscaping
AB24,57.16392984569153,-2.1079222850522576,Blackwell's,57.16661230678575,-2.10234891500927,Bookstore
AB24,57.16392984569153,-2.1079222850522576,King's Museum,57.16675693579165,-2.1022939682006836,History Museum
AB24,57.16392984569153,-2.1079222850522576,Cruickshank Botanic Gardens,57.167754010694374,-2.104470419732224,Botanical Garden
AB24,57.16392984569153,-2.1079222850522576,Alfie's,57.16262213152334,-2.100109927891164,Coffee Shop
AB25,57.15273236277403,-2.1140470357613523,The Cult of Coffee,57.148273,-2.1143878,Coffee Shop
AB25,57.15273236277403,-2.1140470357613523,Next,57.1554915,-2.1125583,Clothing Store
AB25,57.15273236277403,-2.1140470357613523,Co-op Food,57.15445218250799,-2.106619350322808,Grocery Store
AB25,57.15273236277403,-2.1140470357613523,Currys PC World Featuring Carphone Warehouse,57.154951750527694,-2.1131472630223698,Electronics Store
AB25,57.15273236277403,-2.1140470357613523,Queen Vic,57.14971847893078,-2.1166141238728353,Pub
AB25,57.15273236277403,-2.1140470357613523,Rosemount Palace,57.15283330305026,-2.1121536474586726,Hotel
AB25,57.15273236277403,-2.1140470357613523,Argos,57.155800119826516,-2.1129368675246325,Warehouse Store
AB25,57.15273236277403,-2.1140470357613523,Crolla's Gelateria,57.15051194106869,-2.112743854522705,Ice Cream Shop
AB25,57.15273236277403,-2.1140470357613523,Spar,57.15123346592151,-2.1098805797107483,Convenience Store
AB25,57.15273236277403,-2.1140470357613523,Panda Valley,57.15001789999999,-2.1155224,Chinese Restaurant
AB25,57.15273236277403,-2.1140470357613523,Currymount,57.14979795928486,-2.115260837582859,Indian Restaurant
AB25,57.15273236277403,-2.1140470357613523,Rosies,57.14958279565968,-2.1170060094753422,Café
AB25,57.15273236277403,-2.1140470357613523,Ricebox,57.149110491131886,-2.110573729525888,Chinese Restaurant
AB25,57.15273236277403,-2.1140470357613523,Butchers Arms,57.153953,-2.10619,Pub
AB25,57.15273236277403,-2.1140470357613523,Matalan,57.15718785,-2.11469314,Clothing Store
AB25,57.15273236277403,-2.1140470357613523,Oddbins,57.14945,-2.119701,Wine Shop
AB41,57.37383630861458,-2.1044886126278675,Co-op Food,57.37109780269186,-2.098291279466707,Grocery Store
AB41,57.37383630861458,-2.1044886126278675,Park Security Fencing Ltd,57.370905525777275,-2.1100511757413187,Construction & Landscaping
AB44,57.66827085036683,-2.4922972404026846,Macduff Aquarium,57.672095231542414,-2.4920206333615824,Aquarium
AB44,57.66827085036683,-2.4922972404026846,The Knowes Hotel Banff and Macduff,57.66956209011122,-2.4956615508917346,Hotel
AB44,57.66827085036683,-2.4922972404026846,British Red Cross,57.67012,-2.49686,Thrift / Vintage Store
AB44,57.66827085036683,-2.4922972404026846,Echomaster Marine Ltd,57.67022,-2.4979007,Electronics Store
AB51,57.28757554174036,-2.403611487325543,J G Ross,57.284916181200536,-2.4041392356560727,Café
AB51,57.28757554174036,-2.403611487325543,Busy Bees at Inverurie,57.286519,-2.398112,Nursery School
AB51,57.28757554174036,-2.403611487325543,Andersons,57.284493043770546,-2.401676176373629,Furniture / Home Store
AB51,57.28757554174036,-2.403611487325543,Strathburn Hotel,57.287972837404396,-2.3965215682983394,Hotel
AB51,57.28757554174036,-2.403611487325543,Skyline Trampoline Park,57.290136,-2.397996,Theme Park Ride / Attraction
AB51,57.28757554174036,-2.403611487325543,Fly Cup Catering,57.286138,-2.396459,Café
AB52,57.3436200456363,-2.6090379653498315,Cafe mini indian take away and restaurant,57.34588451343538,-2.605646693040635,Indian Restaurant
AB52,57.3436200456363,-2.6090379653498315,Bennachie leisure centre,57.34565019607544,-2.614418864250183,Gym
AB99,57.11134055,-2.093992473,IKEA Order and Collection Point,57.109915,-2.0961,Furniture / Home Store
AB99,57.11134055,-2.093992473,Aberdeen Altens Hotel,57.10908143008703,-2.089249546302042,Hotel
AB99,57.11134055,-2.093992473,Makro,57.10960939680571,-2.0954138532122992,Warehouse Store
AB99,57.11134055,-2.093992473,Starbucks,57.10927,-2.0948982,Coffee Shop
AB99,57.11134055,-2.093992473,Burger King,57.10882325851056,-2.093092366595255,Fast Food Restaurant
AL1,51.7489134411539,-0.3236340626102762,Bar Espresso,51.75039609142829,-0.3281036293096592,Coffee Shop
AL1,51.7489134411539,-0.3236340626102762,Med Grill,51.752136514473,-0.32070738033588636,Mediterranean Restaurant
AL1,51.7489134411539,-0.3236340626102762,H & H Fried Chicken and Kebab,51.75034593330825,-0.32817658296756813,Fried Chicken Joint
AL1,51.7489134411539,-0.3236340626102762,Chilli Raj,51.75122269791972,-0.3233847310158588,Indian Restaurant
AL1,51.7489134411539,-0.3236340626102762,The Horn,51.75036023625793,-0.3291197740278169,Music Venue
AL1,51.7489134411539,-0.3236340626102762,The Crown,51.75127755961267,-0.3232762788177714,Pub
AL1,51.7489134411539,-0.3236340626102762,Alban Tandoori,51.750500735622275,-0.3289461135864258,Indian Restaurant
AL1,51.7489134411539,-0.3236340626102762,Iceland,51.750539795490255,-0.32999419331885405,Grocery Store
AL1,51.7489134411539,-0.3236340626102762,Tesco Express,51.752320629932896,-0.3204032778739929,Grocery Store
AL1,51.7489134411539,-0.3236340626102762,The Breakfast Club,51.75105625369467,-0.32355268814252386,Breakfast Spot
AL1,51.7489134411539,-0.3236340626102762,St Albans South Signal Box,51.74948448536046,-0.3277444839477539,History Museum
AL1,51.7489134411539,-0.3236340626102762,Platform 1,51.750515283241945,-0.32756350411989354,Platform
AL1,51.7489134411539,-0.3236340626102762,The Pudding Stop Pudmobile,51.75013904293024,-0.3280856826807102,Dessert Shop
AL1,51.7489134411539,-0.3236340626102762,Chinese Express,51.75225445017008,-0.32038782130934973,Chinese Restaurant
AL10,51.76037009736619,-0.23241460656557977,Hatfield Swim Centre,51.7620697245971,-0.2312659450209652,Pool
AL10,51.76037009736619,-0.23241460656557977,Subway,51.7625892162323,-0.2306753396987915,Sandwich Place
AL10,51.76037009736619,-0.23241460656557977,Prezzo,51.76298332752229,-0.2380514152237906,Italian Restaurant
AL10,51.76037009736619,-0.23241460656557977,Boots,51.76281290378364,-0.22796965258325602,Pharmacy
AL10,51.76037009736619,-0.23241460656557977,Iceland,51.76306415265449,-0.22764112476350612,Grocery Store
